ibgeID;Municipio;ESPVIDA;E_ANOSESTUDO;T_ANALF18M;RDPC;IDHM
1712157;LAVANDEIRA;71,5;10,14;23,96;330,96;0,66
1712405;LIZARDA;70,87;9,06;24,24;302,83;0,57
1712454;LUZINÓPOLIS;68,54;10,73;19,84;319,83;0,639
1712504;MARIANÓPOLIS DO TOCANTINS;72,53;9,39;19,36;403,96;0,631
1712702;MATEIROS;74,39;8,15;28,78;307,46;0,607
1712801;MAURILÂNDIA DO TOCANTINS;68,43;8,83;25,49;233,68;0,58
1713205;MIRACEMA DO TOCANTINS;74,17;9,9;11,97;533,46;0,684
1713304;MIRANORTE;73,23;9,49;14,73;410,45;0,662
1713601;MONTE DO CARMO;73,49;9,44;21,34;351,96;0,622
1713700;MONTE SANTO DO TOCANTINS;70,6;9,48;17,59;280,98;0,62
1713809;PALMEIRAS DO TOCANTINS;73,61;8,44;18,62;307,43;0,628
1713957;MURICILÂNDIA;69,72;8,93;26,08;234,22;0,596
1714203;NATIVIDADE;75,81;9,88;20,64;446,32;0,673
